No1_diameter[m]	No2_axial_load_ratio	No3_reinforcement_ratio	No4_initial_rebar_diameter[mm]	No5_initial_rebar_yield_strength[MPa]	No6_initial_hoop_yield_strength[MPa]	No7_initial_concrete_strength[MPa]	No8_ec_cover	No9_ecu_cover	No10_diffusion_coefficient[cm^2/s]	No11_Surface_chloride_cocentration[kg/m^3]	No12_Critical_chloride_concentration[kg/m^3]	No13_Corrosion_rate[mm^2/year]	No14_time[year]
1.465	0.09762	0.014403	34.419	390.91	306.25	44.188	0.0015746	0.0039365	18.777	4.2254	1.0945	0.1168	55.069
1.0234	0.09102	0.020675	34.125	445.91	318.73	36.252	0.001469	0.0036725	77.662	5.1709	1.1964	0.099654	63.754
1.0494	0.10443	0.016871	30.739	399.98	379.77	33.954	0.0019232	0.0048079	36.177	7.2892	1.0409	0.19413	79.106
1.7964	0.094415	0.019952	28.4	357.86	378.44	41.699	0.0021226	0.0053066	205.11	3.486	0.72308	0.063164	5.839
1.4834	0.082581	0.015549	27.129	447.91	348.25	30.128	0.0022362	0.0055906	75.676	2.7552	1.0297	0.083366	36.828
1.2314	0.084251	0.015939	27.482	493.85	377.37	35.002	0.0018488	0.0046221	23.547	3.1363	0.914	0.094464	38.116
1.2911	0.10818	0.015794	33.657	376.71	382.25	26.747	0.0018486	0.0046214	29.466	2.8098	0.77081	0.16225	69.105
1.6062	0.10073	0.011385	29.427	388.13	327.75	30.583	0.0018895	0.0047239	48.813	2.0439	0.7174	0.10623	56.905
1.6857	0.097398	0.020878	30.513	349.35	337.75	52.566	0.0021005	0.0052513	27.442	5.2938	0.74846	0.19478	30.617
1.7423	0.090971	0.010359	28.722	315.21	305.38	38.193	0.0027222	0.0068056	28.716	1.2666	0.7205	0.090149	79.917
1.413	0.10499	0.02724	31.08	410.06	320.05	41.412	0.0019965	0.0049913	21.076	0.81843	0.76856	0.088997	39.21
1.6151	0.099491	0.018236	35.036	382.03	349.11	33.836	0.0023672	0.005918	17.478	5.331	1.1727	0.128	94.508
1.6329	0.10718	0.014569	30.434	433.02	404.54	44.167	0.0026099	0.0065246	27.681	2.3377	0.82087	0.15689	25.79
1.4942	0.11598	0.018769	34.26	449.55	319.17	53.082	0.00177	0.0044251	145.68	4.034	0.73405	0.11944	56.862
1.7931	0.099023	0.018828	35.749	444.3	378.08	47.104	0.0017817	0.0044542	82.925	8.1316	0.99781	0.10596	16.075
1.7022	0.083951	0.015574	26.032	415.44	381.37	32.838	0.0024355	0.0060888	50.366	5.0872	0.84053	0.16536	72.1
1.5541	0.10942	0.012925	26.21	351.72	292.04	51.192	0.0029016	0.007254	40.669	1.6086	1.0718	0.12194	87.385
1.6102	0.079973	0.013413	26.092	382.57	344.78	34.031	0.0018123	0.0045308	38.879	2.2152	0.69566	0.14102	57.452
1.6027	0.098871	0.022138	29.364	368.73	298.29	32.597	0.0016113	0.0040284	47.635	3.7796	1.1157	0.12991	91.436
1.7594	0.10143	0.028565	30.15	442.01	429.33	40.04	0.0015568	0.0038919	22.167	1.5839	0.60054	0.077911	66.823
1.4562	0.09234	0.026076	34.577	480.16	393.7	21.285	0.0023255	0.0058138	53.138	2.1693	0.94172	0.08238	43.594
1.0822	0.081828	0.016304	32.196	369.19	341.93	40.524	0.0019848	0.004962	57.876	2.2724	1.0805	0.11678	98.823
1.4768	0.10488	0.015151	33.197	434.89	409.6	26.56	0.0024571	0.0061427	126.36	2.5423	0.62384	0.11337	23.328
1.7481	0.10115	0.015202	33.288	376.94	335.09	40.527	0.0020079	0.0050197	30.359	2.224	0.82437	0.19871	22.668
1.7708	0.08485	0.019506	33.716	369.08	343.37	45.693	0.0021868	0.0054669	12.568	4.6476	0.99727	0.13424	41.876
1.5243	0.084225	0.018921	28.934	411.63	285.26	40.705	0.0022036	0.0055091	15.533	3.0861	0.83408	0.22716	19.608
1.5702	0.10615	0.011549	34.988	366.08	402.81	32.976	0.0013385	0.0033462	94.83	3.5746	0.67467	0.16078	13.687
1.6822	0.077783	0.02649	35.932	356.05	315.88	46.941	0.0014477	0.0036193	77.703	2.5509	0.94641	0.14216	13.814
1.4228	0.11273	0.019929	35.69	397.51	314.7	35.915	0.0020302	0.0050756	55.056	2.747	0.77898	0.10162	25.733
1.1132	0.11367	0.02086	35.165	407.14	328.62	37.957	0.0020749	0.0051872	54.975	3.1509	1.0417	0.17414	28.676
1.6081	0.099993	0.01383	30.355	294.4	312.98	51.463	0.0020634	0.0051584	63.226	1.5155	1.1555	0.12676	41.202
1.5601	0.10685	0.022865	29.192	375.57	321.73	36.785	0.0019154	0.0047886	61.529	3.4461	1.1869	0.12654	20.5
1.2248	0.10011	0.021153	32.204	435.37	291.81	37.02	0.0019125	0.0047812	86.754	3.457	0.61539	0.16754	33.953
1.3597	0.10052	0.014997	33.02	394.87	317.17	32.184	0.0014565	0.0036411	33.197	3.2124	1.1476	0.1101	50.342
1.6757	0.10011	0.014441	27.353	403.52	319.37	38.728	0.0018748	0.0046869	36.875	2.6327	0.84029	0.15884	92.076
1.2818	0.11223	0.025201	35.83	478.11	273.91	33.814	0.0018805	0.0047013	21.912	2.9457	0.98579	0.10015	92.465
1.7695	0.095317	0.010147	35.941	419.34	377.9	52.538	0.0025016	0.0062541	83.098	1.4526	1.0909	0.13381	42.912
1.0468	0.11953	0.011767	28.734	389.02	357.56	41.531	0.0017926	0.0044814	33.109	4.2015	1.1887	0.18068	12.764
1.138	0.093634	0.012817	33.625	457.4	322.01	41.089	0.0017621	0.0044052	75.135	3.0417	0.9132	0.13195	40.967
1.3114	0.10434	0.01076	29.53	432.58	352.68	38.657	0.0016955	0.0042388	175.15	2.2826	0.60614	0.085142	99.594
1.6463	0.094586	0.023446	33.15	400.17	361.02	28.988	0.0016986	0.0042465	28.241	2.2453	1.1996	0.16289	96.272
1.2463	0.10118	0.015445	33.819	351.95	298.68	44.485	0.0020942	0.0052355	64.468	2.6464	1.082	0.12237	81.974
1.0633	0.11017	0.022898	34.271	346.58	335.72	48.073	0.0015081	0.0037704	72.904	2.7539	1.0252	0.096558	65.864
1.67	0.10038	0.013423	31.377	467.6	356.75	39.759	0.0029072	0.0072681	61.071	3.6631	0.98813	0.11813	1.4906
1.5224	0.10405	0.015466	27.84	379.73	399.78	42.711	0.0017499	0.0043747	20.177	1.8835	0.91696	0.14142	38.521
1.7589	0.11335	0.010527	28.691	377.78	300.65	30.293	0.0021828	0.005457	50.804	3.7123	0.8137	0.24189	39.544
1.1736	0.11363	0.027997	31.436	419.51	356.51	45.572	0.0027784	0.006946	124.74	4.4515	1.0286	0.089232	8.5751
1.4768	0.073201	0.011447	32.497	402.17	358.21	32.586	0.0018429	0.0046073	32.915	2.8217	1.1713	0.16144	99.663
1.3584	0.093162	0.012111	32.463	423.79	376.42	22.048	0.0023836	0.0059589	71.443	2.9566	0.77997	0.084933	60.407
1.0633	0.099299	0.011785	31.85	379.24	396.65	53.773	0.0023035	0.0057587	60.759	1.3965	1.0695	0.1077	40.201
1.6651	0.10095	0.020182	32.859	477.25	365.66	54.711	0.0022064	0.005516	48.523	3.2206	1.1225	0.07507	42.839
1.5906	0.090354	0.013222	34.077	323.2	342.4	39.435	0.0021031	0.0052577	109.63	2.1738	1.1984	0.11941	90.604
1.2887	0.093073	0.014151	32.019	373.88	376.43	33.413	0.0018629	0.0046573	26.532	3.9625	1.1433	0.19111	96.862
1.1302	0.084834	0.021872	35.857	358.42	337.64	38.745	0.0022903	0.0057257	32.575	2.6186	0.9219	0.14192	72.862
1.6871	0.081353	0.010047	27.99	418.47	364.58	47.432	0.0021763	0.0054408	10.291	1.5827	1.1611	0.14059	51.448
1.0251	0.096157	0.023713	34.596	496.2	298.12	33.918	0.0012595	0.0031488	55.838	1.9605	1.1343	0.10955	50.578
1.1736	0.11791	0.012248	29.908	386.16	373.87	41.666	0.0030152	0.0075379	96.354	2.1191	0.9218	0.086631	41.137
1.2105	0.091747	0.028582	30.401	377.39	400.56	44.099	0.0021586	0.0053964	49.157	3.6827	0.91641	0.12971	57.147
1.5997	0.11794	0.019261	27.313	395.09	354.75	42.895	0.002293	0.0057325	39.473	2.5317	0.92515	0.090407	96.52
1.0431	0.083963	0.021496	32.582	455.79	358.42	40.02	0.0016495	0.0041238	46.065	2.8127	1.0244	0.13694	25.274
1.0125	0.10989	0.015461	31.064	334.04	335.38	26.471	0.0017159	0.0042898	33.279	6.6799	0.60383	0.20823	4.9073
1.6038	0.076627	0.010123	26.161	387.84	347.46	26.074	0.0022695	0.0056737	68.144	7.1641	0.60757	0.10303	38.887
1.4985	0.09111	0.016908	32.537	391.67	365.38	35.8	0.0018413	0.0046032	124.41	2.9761	1.045	0.11423	61.392
1.4267	0.097477	0.026254	30.597	388.21	342.2	35.599	0.0021493	0.0053731	51.882	3.6923	0.84924	0.1186	86.5
1.6591	0.11539	0.017443	28.687	337.82	361.95	34.936	0.0021411	0.0053527	45.093	3.6009	0.98486	0.088071	55.551
1.2061	0.10725	0.02682	35.622	358.78	322.48	33.161	0.0019925	0.0049811	60.114	2.2131	0.84433	0.10825	24.637
1.6381	0.10267	0.028215	26.068	441.48	340.5	30.897	0.0016531	0.0041327	32.717	3.1156	1.1986	0.10044	63.097
1.5585	0.10521	0.021832	27.57	377.44	331.9	37.782	0.0019138	0.0047846	27.542	3.9132	0.85374	0.064114	50.226
1.0084	0.10921	0.02223	31.329	373.3	398.19	48.806	0.0024435	0.0061088	151.7	1.0895	0.65839	0.11461	13.446
